Price,Close,High,Low,Open,Volume
2025-11-02,110639.625,111167.3125,109523.453125,110064.4296875,34284209459
2025-11-03,106547.5234375,110764.9140625,105336.359375,110646.90625,72852006359
2025-11-04,101590.5234375,107264.8828125,98962.0625,106541.421875,110967184773
2025-11-05,103891.8359375,104534.703125,98989.9140625,101579.234375,77584934804
2025-11-06,101301.2890625,104147.3046875,100336.8671875,103893.6640625,63932752861
2025-11-07,103372.40625,104052.9140625,99257.0546875,101286.2421875,92168030081
2025-11-08,102282.1171875,103373.5625,101458.0390625,103371.703125,51446691095
2025-11-09,104719.640625,105418.3671875,101468.875,102278.984375,59679243013
2025-11-10,105996.59375,106564.6953125,104350.6484375,104723.7734375,69585887229
2025-11-11,102997.46875,107428.2578125,102457.328125,105996.859375,71130078574
2025-11-12,101663.1875,105297.234375,100836.6171875,103011.4375,64347179408
2025-11-13,99697.4921875,104005.4921875,97988.71875,101674.1484375,101546815416
2025-11-14,94397.7890625,99804.4296875,94000.734375,99694.703125,114346441890
2025-11-15,95549.1484375,96728.46875,94420.46875,94420.46875,38500716654
2025-11-16,94177.078125,96564.1875,92971.1640625,95556.8671875,71086235862
2025-11-17,92093.875,95928.3671875,91214.7578125,94180.875,94186165724
2025-11-18,92948.875,93745.078125,89300.4609375,92094.53125,101333569062
2025-11-19,91465.9921875,92946.1640625,88526.828125,92946.1640625,80350354656
2025-11-20,86631.8984375,93025.0703125,86040.796875,91459.3515625,97970645638
2025-11-21,85090.6875,87380.8046875,80659.8125,86528.7734375,129157506112
2025-11-22,84648.359375,85503.0078125,83490.8984375,85098.5625,40793099246
2025-11-23,86805.0078125,88038.46875,84641.7734375,84648.609375,58083435576
2025-11-24,88270.5625,89206.3359375,85272.1953125,86798.7734375,74433896110
2025-11-26,87150.8359375,88051.15625,87083.9453125,87334.421875,62739927040
